target_category,target_new_built,target_storage_room
Basic,0,1
Basic,0,1
Basic,0,0
Luxury,1,0
Basic,0,1
Basic,0,0
Basic,1,1
Basic,0,1
Basic,0,0
Basic,1,1
Luxury,1,1
Basic,0,1
Basic,1,1
Basic,0,0
Luxury,1,0
Basic,0,1
Luxury,1,1
Luxury,1,0
Basic,1,0
Basic,1,1
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,1,1
Basic,1,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,1,0
Basic,1,1
Basic,0,0
Luxury,1,1
Basic,0,0
Basic,0,0
Luxury,1,0
Luxury,1,1
Basic,0,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,0
Luxury,1,1
Basic,1,1
Basic,1,1
Basic,1,1
Basic,1,0
Basic,0,1
Basic,1,1
Basic,1,1
Luxury,1,1
Basic,0,1
Basic,0,1
Basic,1,1
Basic,1,0
Basic,1,1
Basic,1,0
Basic,0,0
Basic,0,1
Basic,1,0
Luxury,1,0
Basic,1,1
Luxury,1,0
Basic,0,0
Luxury,1,1
Basic,1,0
Luxury,1,0
Basic,0,0
Basic,1,1
Luxury,1,1
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,1,0
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,1
Luxury,1,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,1,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,1
Luxury,1,1
Basic,1,1
Basic,1,0
Basic,0,0
Basic,0,0
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,1,1
Luxury,1,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,0
Basic,1,0
Basic,1,1
Basic,0,0
Luxury,1,0
Basic,0,1
Basic,1,0
Basic,1,0
Luxury,1,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,1,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,1,0
Basic,1,0
Basic,1,0
Basic,0,0
Basic,1,0
Basic,1,0
Basic,1,0
Luxury,1,0
Basic,1,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,1,1
Luxury,1,1
Basic,1,1
Basic,0,0
Basic,0,1
Luxury,1,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,0
Luxury,1,1
Basic,0,0
Luxury,1,0
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,0
Basic,1,0
Luxury,1,1
Basic,1,1
Basic,1,1
Basic,0,0
Luxury,1,1
Luxury,1,0
Basic,0,1
Basic,1,0
Basic,0,1
Basic,1,1
Basic,1,1
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,1
Basic,1,0
Basic,1,1
Luxury,1,1
Basic,1,0
Luxury,1,1
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,1,1
Luxury,1,0
Basic,0,0
Basic,0,0
Basic,0,1
Basic,1,1
Luxury,1,0
Basic,1,0
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,1
Basic,1,1
Luxury,1,0
Luxury,1,0
Basic,1,1
Basic,0,0
Basic,1,1
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,0
Luxury,1,1
Basic,0,1
Basic,0,0
Luxury,1,1
Basic,0,1
Basic,1,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,0
Luxury,1,1
Basic,1,0
Basic,1,0
Basic,0,1
Basic,0,0
Basic,1,0
Luxury,1,0
Luxury,1,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,1,1
Luxury,1,1
Basic,1,1
Basic,1,1
Luxury,1,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,0,0
Luxury,1,1
Basic,1,0
Luxury,1,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,1
Basic,1,1
Basic,1,0
Luxury,1,1
Basic,1,1
Basic,1,1
Luxury,1,0
Basic,1,1
Basic,0,1
Basic,1,0
Basic,1,1
Basic,0,0
Luxury,1,1
Basic,1,1
Basic,0,0
Basic,1,1
Basic,0,0
Luxury,1,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,1,0
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,0
Basic,1,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,1,0
Basic,0,1
Basic,0,0
Luxury,1,0
Basic,0,1
Basic,0,0
Basic,1,1
Basic,0,0
Basic,1,0
Basic,0,1
Luxury,1,0
Basic,1,1
Basic,0,0
Basic,1,1
Basic,1,1
Basic,1,1
Basic,0,0
Basic,1,1
Basic,1,1
Basic,1,1
Basic,0,0
Basic,1,1
Basic,0,0
Basic,0,0
Luxury,1,1
Basic,1,1
Basic,0,0
Basic,1,0
Basic,1,0
Basic,0,1
Basic,1,0
Basic,0,0
Basic,1,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,1,1
Basic,1,0
Basic,0,0
Basic,1,1
Basic,0,1
Basic,0,1
Basic,0,1
Basic,1,0
Basic,1,1
Basic,0,1
Basic,1,1
Luxury,1,0
Basic,0,0
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,1
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,1
Luxury,1,1
Basic,1,0
Luxury,1,0
Basic,0,1
Basic,1,0
Basic,0,1
Luxury,1,1
Basic,1,0
Basic,0,0
Luxury,1,1
Basic,1,0
Basic,1,0
Basic,0,0
Basic,1,0
Basic,1,0
Luxury,1,1
Basic,1,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,1,1
Basic,1,0
Basic,1,1
Basic,0,0
Luxury,1,0
Basic,1,1
Luxury,1,1
Basic,0,1
Basic,1,1
Basic,1,1
Basic,0,0
Basic,1,0
Basic,1,1
Basic,1,1
Basic,1,0
Basic,1,1
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,1,1
Basic,1,1
Basic,1,0
Basic,1,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,1
Basic,1,0
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,0
Luxury,1,1
Basic,0,0
Basic,1,0
Basic,1,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,1,1
Luxury,1,1
Basic,1,0
Basic,0,0
Basic,0,1
Luxury,1,0
Basic,0,1
Luxury,1,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,1,0
Basic,1,1
Basic,1,1
Basic,1,0
Basic,1,1
Basic,0,0
Basic,0,0
Basic,1,0
Basic,1,1
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,1,1
Basic,1,1
Basic,0,1
Basic,1,1
Basic,1,1
Basic,0,1
Luxury,1,1
Basic,0,1
Luxury,1,0
Basic,1,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,0
Luxury,1,1
Basic,1,1
Basic,0,0
Basic,1,1
Basic,1,0
Basic,1,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,1,1
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,0
Luxury,1,1
Basic,0,1
Basic,0,1
Basic,0,1
Basic,1,0
Basic,1,0
Basic,1,1
Basic,1,1
Luxury,1,0
Basic,0,0
Basic,0,0
Luxury,1,1
Basic,1,1
Basic,0,1
Basic,1,0
Basic,1,0
Basic,0,0
Luxury,1,1
Basic,0,0
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,1,0
Basic,1,1
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,1,0
Luxury,1,0
Luxury,1,1
Basic,1,0
Basic,1,1
Luxury,1,1
Basic,0,0
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,0,0
Basic,0,1
Basic,1,1
Basic,1,0
Basic,1,0
Basic,1,0
Basic,1,0
Basic,0,1
Luxury,1,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,0
Basic,1,1
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,0
Basic,0,1
Basic,0,0
Basic,1,0
Basic,1,1
Basic,1,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,0
Luxury,1,1
Basic,1,1
Basic,1,0
Luxury,1,0
Basic,1,0
Basic,1,0
Basic,0,1
Basic,1,1
Luxury,1,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,1
Luxury,1,0
Luxury,1,0
Basic,0,1
Luxury,1,1
Basic,0,0
Basic,1,0
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,1
Basic,0,1
Luxury,1,1
Basic,1,0
Basic,1,0
Basic,1,1
Basic,0,0
Basic,1,0
Basic,1,0
Basic,0,0
Basic,1,1
Basic,1,1
Basic,1,0
Basic,1,0
Luxury,1,0
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,1,0
Basic,1,0
Luxury,1,0
Basic,1,1
Basic,1,1
Basic,0,0
Basic,1,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,1,1
Basic,1,1
Basic,0,0
Basic,1,0
Basic,0,1
Luxury,1,0
Basic,1,0
Basic,0,1
Luxury,1,1
Basic,1,1
Basic,0,0
Basic,1,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,0
Basic,0,0
Basic,0,0
Basic,0,1
Luxury,1,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,0
Luxury,1,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,0
Luxury,1,0
Luxury,1,0
Basic,1,1
Basic,0,0
Basic,1,1
Basic,0,0
Basic,0,0
Luxury,1,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,0
Basic,1,0
Basic,1,1
Basic,1,1
Luxury,1,1
Basic,1,0
Basic,1,1
Basic,1,1
Basic,1,1
Basic,1,1
Basic,1,1
Luxury,1,1
Luxury,1,1
Basic,1,0
Basic,0,0
Basic,1,1
Luxury,1,0
Basic,0,1
Basic,1,1
Basic,1,0
Basic,1,0
Basic,1,1
Luxury,1,0
Basic,1,1
Basic,0,0
Basic,0,1
Luxury,1,0
Basic,0,1
Basic,0,1
Basic,1,1
Luxury,1,0
Basic,1,1
Basic,0,0
Luxury,1,0
Basic,0,0
Basic,1,1
Basic,1,1
Basic,0,0
Luxury,1,0
Basic,1,1
Basic,1,0
Basic,0,0
Basic,0,1
Basic,1,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,1,1
Basic,0,1
Basic,1,1
Basic,1,0
Basic,1,0
Basic,1,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,1
Basic,1,0
Luxury,1,1
Luxury,1,1
Basic,0,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,0
Basic,1,1
Luxury,1,1
Basic,0,0
Luxury,1,0
Basic,0,0
Luxury,1,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,1,0
Luxury,1,1
Basic,0,1
Basic,0,0
Basic,1,1
Luxury,1,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,1,1
Basic,0,0
Basic,1,1
Basic,0,0
Luxury,1,0
Basic,0,1
Basic,0,1
Basic,1,1
Basic,1,0
Basic,0,1
Basic,1,0
Basic,0,0
Basic,0,0
Luxury,1,0
Basic,1,1
Basic,1,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,1,0
Basic,1,1
Basic,0,0
Basic,1,0
Luxury,1,1
Basic,1,1
Basic,0,1
Basic,0,1
Basic,1,1
Basic,1,1
Basic,1,1
Basic,0,0
Basic,0,1
Luxury,1,0
Luxury,1,0
Basic,0,1
Basic,1,0
Basic,1,0
Luxury,1,1
Basic,0,0
Basic,0,1
Basic,1,0
Luxury,1,1
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,1
Basic,1,1
Basic,1,0
Basic,0,0
Basic,1,1
Basic,0,1
Luxury,1,0
Basic,1,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,1
Luxury,1,0
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,1,0
Basic,1,1
Luxury,1,1
Basic,1,1
Basic,0,1
Basic,1,0
Basic,1,1
Basic,1,0
Basic,0,0
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Luxury,1,1
Basic,0,1
Luxury,1,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,1,0
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,0,0
Basic,0,1
Basic,0,1
Luxury,1,1
Basic,0,0
Basic,1,0
Basic,1,0
Basic,0,0
Luxury,1,0
Basic,1,1
Basic,1,1
Basic,1,0
Luxury,1,0
Basic,0,0
Basic,1,0
Basic,1,1
Basic,1,0
Luxury,1,1
Basic,1,0
Basic,1,1
Basic,1,1
Basic,0,1
Luxury,1,1
Basic,1,0
Basic,1,0
Basic,0,1
Basic,1,1
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,0,1
Luxury,1,1
Basic,1,0
Basic,0,0
Basic,1,1
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Luxury,1,0
Basic,0,1
Basic,1,1
Basic,1,1
Basic,1,0
Luxury,1,0
Basic,1,0
Basic,0,1
Basic,0,0
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,1
Basic,0,1
Luxury,1,1
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,0
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,1
Luxury,1,0
Basic,0,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,0
Luxury,1,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,1
Basic,1,1
Basic,1,1
Basic,0,1
Basic,1,0
Basic,0,1
Luxury,1,1
Luxury,1,1
Basic,0,0
Basic,1,1
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,1
Luxury,1,1
Basic,1,0
Basic,0,0
Basic,0,1
Basic,1,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,0,0
Luxury,1,0
Basic,0,0
Basic,1,0
Basic,0,0
Luxury,1,0
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,0
Basic,1,0
Basic,0,0
Luxury,1,1
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,0
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,1,1
Basic,1,1
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,0
Luxury,1,0
Basic,1,0
Basic,0,0
Basic,0,0
Luxury,1,0
Luxury,1,1
Basic,0,1
Luxury,1,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,1,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,1
Basic,1,0
Luxury,1,0
Basic,0,1
Luxury,1,0
Basic,0,0
Basic,0,1
Basic,1,0
Basic,1,1
Basic,1,0
Basic,1,0
Basic,1,0
Basic,1,0
Luxury,1,0
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,1,1
Basic,1,1
Basic,1,1
Basic,1,0
Basic,1,1
Basic,1,0
Basic,0,1
Basic,0,0
Basic,1,1
Basic,0,0
Basic,1,0
Luxury,1,1
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,0
Basic,0,1
Basic,1,0
Basic,1,1
Basic,1,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,1
Basic,0,1
Luxury,1,1
Basic,0,0
Basic,1,0
Basic,0,0
Basic,1,1
Basic,1,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,1,1
Basic,0,0
Basic,0,1
Basic,1,0
Basic,0,0
Basic,1,0
Basic,1,1
Basic,1,0
Luxury,1,0
Basic,0,0
Luxury,1,1
Luxury,1,1
Basic,1,0
Basic,1,0
Basic,0,1
Luxury,1,1
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,0
Basic,1,1
Basic,0,1
Basic,0,1
Basic,1,0
Basic,0,0
Basic,1,0
Basic,1,1
Luxury,1,1
Basic,1,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,1,0
Basic,1,0
Luxury,1,1
Basic,0,0
Basic,1,1
Basic,0,0
Basic,1,1
Luxury,1,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,1,1
Basic,1,1
Basic,1,1
Basic,1,0
Basic,0,1
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,0,1
Luxury,1,0
Basic,1,0
Luxury,1,0
Basic,0,1
Basic,1,0
Basic,0,0
Luxury,1,0
Basic,1,0
Basic,0,1
Basic,1,0
Basic,0,0
Basic,1,1
Basic,1,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,0
Luxury,1,1
Basic,1,0
Basic,0,1
Basic,1,0
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,0,0
Basic,1,1
Basic,0,0
Luxury,1,1
Basic,1,0
Luxury,1,0
Basic,0,1
Luxury,1,1
Basic,0,1
Luxury,1,0
Basic,1,1
Basic,1,1
Basic,1,1
Luxury,1,0
Basic,1,0
Luxury,1,1
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,1
Basic,0,1
Luxury,1,1
Basic,1,1
Basic,0,1
Luxury,1,1
Basic,1,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,1,1
Luxury,1,0
Luxury,1,1
Basic,0,0
Basic,1,0
Basic,1,1
Basic,0,1
Luxury,1,1
Basic,1,1
Basic,0,1
Basic,1,1
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,0
Basic,1,1
Basic,0,1
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,1
Basic,0,0
Basic,0,0
Basic,0,1
Basic,1,0
Basic,1,1
Basic,1,1
Basic,0,0
Basic,1,0
Luxury,1,1
Luxury,1,0
Basic,1,0
Basic,0,0
Luxury,1,0
Basic,0,0
Luxury,1,1
Basic,1,1
Basic,0,0
Basic,0,0
Luxury,1,0
Basic,0,1
Basic,1,1
Basic,0,1
Basic,0,0
Basic,0,1
Basic,0,0
Basic,1,0
Basic,0,1
Luxury,1,1
Luxury,1,0
Basic,0,0
Basic,1,0
Basic,0,0
Basic,0,1
Basic,0,1
Basic,0,0
Basic,1,0
Basic,1,1
Basic,1,0
Basic,1,0
Basic,0,1
Basic,0,0
Basic,1,1
Basic,1,1
Basic,0,1
Basic,0,0
Basic,1,1
Basic,1,0
Basic,1,0
Basic,0,1
Basic,1,1
Basic,1,1
Basic,0,0
Basic,0,1
Basic,0,0
Luxury,1,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,0
Basic,1,1
Basic,1,1
Basic,1,1
Basic,1,0
Basic,0,0
Basic,1,0
Basic,0,1
Basic,0,1
Luxury,1,0
Basic,1,0
Luxury,1,0
Basic,0,0
Basic,0,0
Basic,1,0
Basic,1,1
Basic,1,1
Basic,0,0
Basic,0,0
Basic,0,0
Basic,1,1
Basic,0,1
Basic,1,1
